Line	File Name	Source Function Name	Binary Address	Binary Function Name	Matching Rule \ Information
0509	ldebug	luaG_errormsg	0x1404D2DC0	sub_1404D2DC0	Neighbour matching
0510	ldebug	luaG_runerror	0x1404D2E70	sub_1404D2E70	Single called (xref) option
0511	ldebug	auxgetinfo	0x1404D2EB0	sub_1404D2EB0	Neighbour matching
0512	ldebug	lua_getinfo	0x1404D3050	sub_1404D3050	Neighbour matching
0513	ldebug	luaG_typeerror	0x1404D3140	sub_1404D3140	Agent - File-unique string / const
0514	ldebug	luaG_concaterror	0x1404D3210	sub_1404D3210	Neighbour matching
0515	ldebug	luaG_aritherror	0x1404D3230	sub_1404D3230	Agent - File-unique string / const
0516	ldebug	luaG_ordererror	0x1404D3280	sub_1404D3280	Agent - File-unique string / const
0616	lgc	reallymarkobject	0x1404D32E0	sub_1404D32E0	Single called (xref) option
0618	lgc	luaC_separateudata	0x1404D3400	sub_1404D3400	Score-based Matching
0619	lgc	traversetable	0x1404D34E0	sub_1404D34E0	Score-based Matching
0620	lgc	traverseproto	0x1404D36C0	sub_1404D36C0	Neighbour matching
0621	lgc	traverseclosure	0x1404D37C0	sub_1404D37C0	Neighbour matching
0622	lgc	checkstacksizes	0x1404D3870	sub_1404D3870	Score-based Matching
0624	lgc	propagatemark	0x1404D39A0	sub_1404D39A0	Single caller (xref) option
0627	lgc	cleartable	0x1404D3AE0	sub_1404D3AE0	Neighbour matching
0628	lgc	freeobj	0x1404D3C20	sub_1404D3C20	Single called (xref) option
0629	lgc	sweeplist	0x1404D3E10	sub_1404D3E10	Neighbour matching
0630	lgc	checkSizes	0x1404D3ED0	sub_1404D3ED0	Score-based Matching
0631	lgc	GCTM	0x1404D3F60	sub_1404D3F60	Neighbour matching
0632	lgc	luaC_callGCTM	0x1404D41A0	sub_1404D41A0	Single called (xref) option
0633	lgc	luaC_freeall	0x1404D4200	sub_1404D4200	Single called (xref) option
0635	lgc	markroot	0x1404D43F0	sub_1404D43F0	Score-based Matching
0637	lgc	atomic	0x1404D44A0	sub_1404D44A0	Single called (xref) option
0625	lgc	propagateall	0x1404D4630	sub_1404D4630	Single caller (xref) option
0638	lgc	singlestep	0x1404D4820	sub_1404D4820	Neighbour matching
0639	lgc	luaC_step	0x1404D4B20	sub_1404D4B20	Single called (xref) option
0640	lgc	luaC_fullgc	0x1404D4C20	sub_1404D4C20	Neighbour matching
0641	lgc	luaC_barrierf	0x1404D4CD0	sub_1404D4CD0	Single called (xref) option
0642	lgc	luaC_barrierback	0x1404D4D00	sub_1404D4D00	Single called (xref) option
0643	lgc	luaC_link	0x1404D4D20	sub_1404D4D20	Neighbour matching
0644	lgc	luaC_linkupval	0x1404D4D40	sub_1404D4D40	Single called (xref) option
0132	linit	luaL_openlibs	0x1404D4DD0	sub_1404D4DD0	Single caller (xref) option
0351	lstate	stack_init	0x1404D4E90	sub_1404D4E90	Single called (xref) option
0353	lstate	f_luaopen	0x1404D4F40	sub_1404D4F40	Single caller (xref) option
0355	lstate	close_state	0x1404D4FF0	sub_1404D4FF0	Single called (xref) option
0356	lstate	luaE_newthread	0x1404D50A0	sub_1404D50A0	Single called (xref) option
0357	lstate	luaE_freethread	0x1404D5180	sub_1404D5180	Score-based Matching
0358	lstate	lua_newstate	0x1404D51F0	sub_1404D51F0	Single caller (xref) option
0359	lstate	callallgcTM	0x1404D53C0	sub_1404D53C0	Last (referenced) function in file
0360	lstate	lua_close	0x1404D53D0	sub_1404D53D0	Score-based Matching
0517	ldo	luaD_seterrorobj	0x1404D5460	sub_1404D5460	Anchor - Complex unique string / const
0518	ldo	luaD_rawrunprotected	0x1404D5510	sub_1404D5510	Neighbour matching
0519	ldo	correctstack	0x1404D55C0	sub_1404D55C0	Neighbour matching
0520	ldo	luaD_reallocstack	0x1404D5670	sub_1404D5670	Neighbour matching
0521	ldo	luaD_reallocCI	0x1404D5700	sub_1404D5700	Agent - File-unique string / const
0522	ldo	luaD_growstack	0x1404D57B0	sub_1404D57B0	Neighbour matching
0523	ldo	luaD_callhook	0x1404D57D0	sub_1404D57D0	Neighbour matching
0524	ldo	adjust_varargs	0x1404D5900	sub_1404D5900	Neighbour matching
0525	ldo	tryfuncTM	0x1404D5AC0	sub_1404D5AC0	Score-based Matching
0526	ldo	callrethooks	0x1404D5B80	sub_1404D5B80	Neighbour matching
0527	ldo	luaD_poscall	0x1404D5C00	sub_1404D5C00	Single called (xref) option
0528	ldo	resume_error	0x1404D5CA0	sub_1404D5CA0	Neighbour matching
0529	ldo	lua_yield	0x1404D5D20	sub_1404D5D20	Anchor - Complex unique string / const
0530	ldo	f_parser	0x1404D5DD0	sub_1404D5DD0	Single caller (xref) option
0532	ldo	resetstack	0x1404D5EE0	sub_1404D5EE0	Score-based Matching
0533	ldo	luaD_throw	0x1404D5F80	sub_1404D5F80	Single called (xref) option
0535	ldo	luaD_precall	0x1404D5FF0	sub_1404D5FF0	Single called (xref) option
0536	ldo	luaD_call	0x1404D62B0	sub_1404D62B0	Single called (xref) option
0537	ldo	resume	0x1404D6360	sub_1404D6360	Neighbour matching
0538	ldo	lua_resume	0x1404D63F0	sub_1404D63F0	Anchor - Complex unique string / const
0539	ldo	luaD_pcall	0x1404D64B0	sub_1404D64B0	Neighbour matching
0251	lobject	luaO_int2fb	0x1404D6630	sub_1404D6630	Neighbour matching
0252	lobject	luaO_fb2int	0x1404D6660	sub_1404D6660	Single called (xref) option
0253	lobject	luaO_log2	0x1404D6680	sub_1404D6680	Single called (xref) option
0254	lobject	luaO_rawequalObj	0x1404D66B0	sub_1404D66B0	Single called (xref) option
0255	lobject	luaO_str2d	0x1404D6720	sub_1404D6720	Single called (xref) option
0256	lobject	pushstr	0x1404D67F0	sub_1404D67F0	Neighbour matching
0257	lobject	luaO_pushvfstring	0x1404D6860	sub_1404D6860	Score-based Matching
