Line	File Name	Source Function Name	Binary Address	Binary Function Name	Matching Rule \ Information
0168	liolib	createstdfile	N/A	N/A	ifdeffed out / inlined
0169	liolib	newfenv	N/A	N/A	ifdeffed out / inlined
0170	liolib	luaopen_io	0x140486680	sub_140486680	Agent - File-unique string / const
0171	liolib	aux_lines	N/A	N/A	ifdeffed out / inlined
0172	liolib	f_lines	0x1404868F0	sub_1404868F0	Single called (xref) option
0173	liolib	io_lines	0x140486960	sub_140486960	Score-based Matching
0174	llex	save	0x140486A60	sub_140486A60	Agent - File-unique string / const
0175	llex	luaX_init	0x140486B10	sub_140486B10	Neighbour matching
0176	llex	luaX_token2str	0x140486B80	sub_140486B80	Single called (xref) option
0177	llex	txtToken	0x140486BF0	sub_140486BF0	Single called (xref) option
0178	llex	luaX_lexerror	0x140486C90	sub_140486C90	Single called (xref) option
0179	llex	luaX_syntaxerror	0x140486D40	sub_140486D40	Single called (xref) option
0180	llex	luaX_newstring	0x140486D50	sub_140486D50	Neighbour matching
0181	llex	inclinenumber	0x140486DB0	sub_140486DB0	Anchor - Complex unique string / const
0182	llex	luaX_setinput	0x140486E60	sub_140486E60	Neighbour matching
0183	llex	check_next	N/A	N/A	ifdeffed out / inlined
0184	llex	buffreplace	N/A	N/A	ifdeffed out / inlined
0185	llex	trydecpoint	0x140486F00	sub_140486F00	Last (referenced) function in file
0186	llex	read_numeral	0x140486FC0	sub_140486FC0	Single called (xref) option
0187	llex	skip_sep	0x140487130	sub_140487130	Neighbour matching
0188	llex	read_long_string	0x1404871F0	sub_1404871F0	Anchor - Complex unique string / const
0189	llex	read_string	0x140487490	sub_140487490	Agent - File-unique string / const
0190	llex	llex	0x1404879A0	sub_1404879A0	Agent - File-unique string / const
0191	llex	luaX_next	0x1404881B0	sub_1404881B0	Neighbour matching
0192	llex	luaX_lookahead	0x140488200	sub_140488200	Neighbour matching
0193	lmathlib	math_abs	0x14047F4D0	sub_14047F4D0	Neighbour matching
0194	lmathlib	math_sin	0x14047F510	sub_14047F510	Neighbour matching
0195	lmathlib	math_sinh	0x14047F540	sub_14047F540	Neighbour matching
0196	lmathlib	math_cos	0x14047F570	sub_14047F570	Neighbour matching
0197	lmathlib	math_cosh	0x14047F5A0	sub_14047F5A0	Neighbour matching
0198	lmathlib	math_tan	0x14047F5D0	sub_14047F5D0	Neighbour matching
0199	lmathlib	math_tanh	0x14047F600	sub_14047F600	Neighbour matching
0200	lmathlib	math_asin	0x14047F630	sub_14047F630	Neighbour matching
0201	lmathlib	math_acos	0x14047F660	sub_14047F660	Neighbour matching
0202	lmathlib	math_atan	0x14047F690	sub_14047F690	Neighbour matching
0203	lmathlib	math_atan2	0x14047F6C0	sub_14047F6C0	Neighbour matching
0204	lmathlib	math_ceil	0x14047F720	sub_14047F720	Neighbour matching
0205	lmathlib	math_floor	0x14047F750	sub_14047F750	Neighbour matching
0206	lmathlib	math_fmod	0x14047F780	sub_14047F780	Neighbour matching
0207	lmathlib	math_modf	0x14047F7E0	sub_14047F7E0	Score-based Matching
0208	lmathlib	math_sqrt	0x14047F840	sub_14047F840	Neighbour matching
0209	lmathlib	math_pow	0x14047F870	sub_14047F870	Neighbour matching
0210	lmathlib	math_log	0x14047F8D0	sub_14047F8D0	Neighbour matching
0211	lmathlib	math_log10	0x14047F900	sub_14047F900	Neighbour matching
0212	lmathlib	math_exp	0x14047F930	sub_14047F930	Neighbour matching
0213	lmathlib	math_deg	0x14047F960	sub_14047F960	Neighbour matching
0214	lmathlib	math_rad	0x14047F9A0	sub_14047F9A0	Neighbour matching
0215	lmathlib	math_frexp	0x14047F9E0	sub_14047F9E0	Score-based Matching
0216	lmathlib	math_ldexp	0x14047FA30	sub_14047FA30	Score-based Matching
0217	lmathlib	math_min	0x14047FA80	sub_14047FA80	Neighbour matching
0218	lmathlib	math_max	0x14047FB00	sub_14047FB00	Neighbour matching
0219	lmathlib	math_random	0x14047FB80	sub_14047FB80	Agent - File-unique string / const
0220	lmathlib	math_randomseed	0x14047FCD0	sub_14047FCD0	Neighbour matching
0221	lmathlib	luaopen_math	0x14047FCF0	sub_14047FCF0	Neighbour matching
0222	lmem	luaM_toobig	0x14047DCF0	sub_14047DCF0	Single called (xref) option
0223	lmem	luaM_realloc_	0x14047DD10	sub_14047DD10	Single called (xref) option
0224	lmem	luaM_growaux_	0x14047DD80	sub_14047DD80	Single called (xref) option
0225	loadlib	setprogdir	0x140482BB0	sub_140482BB0	Agent - File-unique string / const
0226	loadlib	pusherror	0x140482C60	sub_140482C60	Anchor - Complex unique string / const
0227	loadlib	ll_unloadlib	N/A	N/A	ifdeffed out / inlined
0228	loadlib	ll_load	N/A	N/A	ifdeffed out / inlined
0229	loadlib	ll_sym	N/A	N/A	ifdeffed out / inlined
0230	loadlib	ll_register	0x140482D00	sub_140482D00	Score-based Matching
0231	loadlib	gctm	0x140482DF0	sub_140482DF0	Single called (xref) option
0232	loadlib	ll_loadfunc	0x140482E40	sub_140482E40	Single called (xref) option
0233	loadlib	ll_loadlib	0x140482ED0	sub_140482ED0	Neighbour matching
0234	loadlib	readable	N/A	N/A	ifdeffed out / inlined
0235	loadlib	pushnexttemplate	N/A	N/A	ifdeffed out / inlined
